held_out_experiment_id,mean_correctly_classified,mean_bad_recall,mean_precision,max_correctly_classified,max_bad_recall,max_precision,p95_correctly_classified,p95_bad_recall,p95_precision
1,True,1.0,1.0,False,1.0,0.9166666666666666,False,0.9090909090909091,0.9090909090909091
2,False,1.0,0.9166666666666666,False,0.9090909090909091,0.9090909090909091,False,1.0,0.9166666666666666
3,False,1.0,0.9166666666666666,False,0.9090909090909091,0.9090909090909091,False,0.9090909090909091,0.9090909090909091
11,True,1.0,1.0,False,0.9090909090909091,0.9090909090909091,True,0.9090909090909091,1.0
12,True,1.0,1.0,True,0.8181818181818182,1.0,True,0.9090909090909091,1.0
13,True,1.0,1.0,False,0.9090909090909091,0.9090909090909091,True,0.9090909090909091,1.0
14,True,1.0,1.0,False,0.9090909090909091,0.9090909090909091,True,0.9090909090909091,1.0
15,True,1.0,1.0,False,0.9090909090909091,0.9090909090909091,False,0.9090909090909091,0.9090909090909091
17,True,1.0,1.0,False,0.9090909090909091,0.9090909090909091,True,0.9090909090909091,1.0
18,True,1.0,1.0,False,1.0,0.9166666666666666,True,0.9090909090909091,1.0
22,False,1.0,0.9166666666666666,False,0.7272727272727273,0.8888888888888888,False,0.9090909090909091,0.9090909090909091
