held_out_experiment_id,mean_correctly_classified,mean_bad_recall,mean_precision,max_correctly_classified,max_bad_recall,max_precision,p95_correctly_classified,p95_bad_recall,p95_precision
1,True,0.7272727272727273,1.0,False,0.7272727272727273,0.8888888888888888,False,0.8181818181818182,0.9
2,False,0.8181818181818182,0.9,False,0.6363636363636364,0.875,False,0.9090909090909091,0.9090909090909091
3,True,0.7272727272727273,1.0,False,0.6363636363636364,0.875,True,0.7272727272727273,1.0
11,True,0.7272727272727273,1.0,False,0.7272727272727273,0.8888888888888888,True,0.6363636363636364,1.0
12,True,0.7272727272727273,1.0,True,0.6363636363636364,1.0,True,0.7272727272727273,1.0
13,True,0.7272727272727273,1.0,True,0.8181818181818182,1.0,True,0.8181818181818182,1.0
14,True,0.7272727272727273,1.0,True,0.8181818181818182,1.0,True,0.6363636363636364,1.0
15,True,0.7272727272727273,1.0,True,0.9090909090909091,1.0,True,0.8181818181818182,1.0
17,True,0.7272727272727273,1.0,True,0.9090909090909091,1.0,True,0.7272727272727273,1.0
18,True,0.7272727272727273,1.0,False,0.7272727272727273,0.8888888888888888,True,0.8181818181818182,1.0
22,False,1.0,0.9166666666666666,False,0.8181818181818182,0.9,False,0.9090909090909091,0.9090909090909091
